repo_name,branch_name
verto-wallet-service,preview
verto-frontend,preview
verto-backend,preview
verto-ledger-service,preview
verto-api-webhooks,preview
verto-company-service,preview
verto-onboarding-service,preview
verto-paybylink-api,preview
verto-cards-api,preview
verto-exchange-now-service,preview
verto-payment-service,preview
case-management-backend,preview
verto-api-certification-service,preview
verto-authorizer-v2,preview
verto-authorizer-v3,preview
verto-marketplace-service,preview
verto-blotter-service,preview
verto-cfsb,preview
verto-cfsb-translator,preview
verto-currency-service,preview
verto-invoice-service,preview
verto-reports,preview
verto-otc-service,preview
verto-subscription-service,preview
verto-beneficiary-service,preview
verto-files-service,preview
verto-notification,preview
verto-mongo-indexes,preview
verto-referrals-service,preview
verto-treasury-service,preview
verto-socket-service,preview
verto-pdf-generator,preview
